diaglocalcode,diagnosis
DC10804,Malignant neoplasm of middle ear
DC10805,Abscess of Bartholin's gland
DC10807,Injury of multiple nerves at hip and thigh level
DC10808,Abnormal findings of blood chemistry_ unspecified
DC10809,Traumatic amputation of thumb (compete_ partial)
DC1081,Chloasma
DC10810,Disorder of lipoprotein metabolism_ unspecified
DC10811,Hepatocellular Carcinoma NOS (C22.0)
DC10812,Neoplasm of uncertain or unknown behavior of other respiratory organs
DC10813,Chronic multifocal osteomyelitis_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC10814,Mature T/NK-cell lymphoma_ unspecified
DC10816,Injury of unspecified nerve of thorax
DC10817,Other prophylactic chemotherapy
DC10818,Disorder of gingiva and edentulous alveolar ridges_ unspecified
DC10819,Malignant neoplasm of pituitary gland
DC1082,Nonorganic sleep disorder_ unspecified
DC10820,Hemorrhagic disorder due to circulation anticoagulants
DC10822,Hyperplasia of prostate
DC10825,Gestational edema with proteinuria
DC10826,Carpal tunnel syndrome
DC10827,Secondary thrombocytopenia
DC10828,Achalasia of cardia
DC1083,Decubitus ulcer and pressure area_ unspecified
DC10832,Congenital cytomegalovirus infection
DC10833,Mild vaginal dysplasia
DC10835,Disorder of purine and pyrimidine metabolism_ unspecified
DC10836,Cysticercosis of other sites
DC10837,Other hyperlipidemia
DC10838,Autoimmune polyglandular failure
DC10839,Staphylococcal scalded skin syndrome
DC10842,Hemangioendothelioma_ Malignant
DC10844,Sprain and strain of thoracic spine
DC10846,Other specified disorders of eyelid
DC10848,Polyarthritis_ unspecified
DC1085,Postmenopausal osteoporosis_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC10850,Malignant neoplasm of ventral surface of tongue
DC10851,Arthropathies in other endocrine_ nutritional and metabolic disorders
DC10853,Examination of potential donor of organ and tissue
DC10856,Idiopathic osteoporosis_ upper arm (humerus_ elbow joints)
DC10858,Other and unspecified right bundle-branch block
DC1086,Allergic contact dermatitis due to drugs in contact with skin
DC10860,Intracerebral hemorrhage_ unspecified
DC10862,Other acute gastritis
DC10863,Other sarcomas of liver
DC10864,Subacute and chronic vulvitis
DC10866,Superficial mycosis_ unspecified
DC10867,Endometrioid Adenofibroma_ Malignant (C56)
DC10870,Injury of nerve(s) of unspecified body region
DC10871,Mixed sedatives and hypnotics_ NEC causing adverse effects in therapeutic use
DC10872,Other and unspecified infectious diseases
DC10873,Phlebitis and thrombophlebitis of unspecified site
DC10875,Dysplasia of vulva_ unspecified
DC10876,Other specified systemic involvement of connective tissue
DC10877,Sialoadenitis
DC10879,Papillomavirus as the cause of diseases classified to other chapters
DC10880,Superficial injury of nose
DC10881,Mittelschmerz
DC10882,Angiomyolipoma
DC10883,Benign neoplasm of lacrimal gland and duct
DC10884,Benign neoplasm of pluriglandular involvement
DC10887,Other thrombophilia
DC10889,Other rupture of muscle(nontraumatic)_ multiple sites
DC1089,Bouchard's nodes (with arthropathy)
DC10890,Dermatitis_ unspecified
DC10891,Persistent somatoform pain disorder
DC10892,Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis
DC10894,Mixed obsessional thoughts and acts
DC10896,Other intracerebral hemorrhage
DC10897,Other secondary gout_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC10898,Neoplasm of uncertain or unknown behavior of brain_ infratentorial
DC10899,Gastrointestinal Stromal Tumor_ NOS
DC1090,Crushed chest
DC10900,Fatigue fracture of vertebra_ lumbar region
DC10901,Contusion of toe(s) without damage to nail
DC10902,Neuralgia and neuritis_ unspecified_ site unspecified
DC10903,Spondylopathy_ unspecified_ multiple sites in spine
DC10904,Chronic obstructive pulmonary disease with acute lower respiratory infection
DC10905,Arthrosis_ unspecified_ site unspecified
DC10906,Arthritis_ unspecified_ hand(carpus_ fingers_ metacarpus)
DC10908,Cerebrospinal fluid leak
DC1091,Occupant of streetcar injured in unspecified traffic accident
DC10910,Postprocedural renal failure
DC10911,Acute bronchitis due to respiratory syncytial virus
DC10912,Other cyst of bone_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC10913,Multiple Adenomatous Polyps
DC10915,Multifocal fibrosclerosis
DC10918,Epithelioid Leiomyoma
DC1092,Secondary arthrosis NOS_ site unspecified
DC10921,Histrionic personality disorder
DC10924,Traumatic secondary and recurrent hemorrhage
DC10926,Poisoning by other and unspecified psychodysleptics[hallucinogens]
DC10927,Other hypoglycemia
DC10929,Inflammatory disorders of spermatic cord_ tunica vaginalis and vas deferens
DC1093,Injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level
DC10932,Female pelvic peritonitis_ unspecified
DC10934,Other benign neoplasms of uterine tubes and ligaments
DC10935,Exposure to other specified electric current_ home
DC10936,Other degenerative disorders of eyelid and periocular area
DC10937,Localized scleroderma[Morphea]
DC10938,Sleepwalking [somnambulism]
DC1094,Unspecified hemorrhoids with other complications
DC10940,Derangement of meniscus due to old tear or injury_ Unspecified ligament or Unspecified meniscus
DC10942,Pneumonia due to Hemophilus in fluenza
DC10943,Drug photoallergic response
DC10945,Immersion hand and foot
DC10946,Chronic gastritis_ unspecified
DC10947,Injury of unspecified blood vessels at forearm level
DC10948,Primary oligomenorrhea
DC1095,Abscess of tendon sheath_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC10950,Open wound of other and unspecified parts of shoulder girdle
DC10951,Closed fracture of other and unspecified parts of lumbar spine and pelvis
DC10952,Severe alcohol intoxication
DC10953,Disease of spleen_ unspecified
DC10954,Fetal death of unspecified casue
DC10955,Problem related to social environment_ unspecified
DC10956,Malignant Melanoma NOS
DC10957,Other retinal detachments
DC10958,Acanthosis nigricans
DC10959,Nodular sclerosis Hodgkin's disease
DC1096,Malignant neoplasm of overlapping lesion of biliary tract
DC10960,Essential tremor
DC10962,Angiopericytoma NOS
DC10963,Other specified disorders of lens
DC10967,Adrenal Cortical Carcinoma (C74.0)
DC1097,Other infective spondylopathies_ lumbar region
DC10970,Spinal muscular atrophy_ unspecified
DC10971,Neurotic disorder_ unspecified
DC10973,Hypertrophy of salivary gland
DC10974,Other diseases of salivary glands
DC10975,Acute bronchiolitis due to respiratory syncytial virus
DC10976,Other specified disorders of kidney and ureter
DC10978,Fracture of head of radius
DC1098,Seborrhoeic dermatitis_ unspecified
DC10980,Other neonatal hypoglycemia
DC10982,Pneumonia due to Streptococcus pneumoniae
DC10983,Other failed induction of labour
DC10984,Tuberculosis of lung_ confirmed by sputum microscopy with or without culture
DC10986,Multiple fractures of teeth
DC10987,Benign neoplasm of cranial nerves
DC10989,Acute stress reaction
DC1099,Unilateral or unspecified inguinal hernia_ with obstruction_ without gangrene
DC10990,Malignant melanoma of ear and external auricular canal
DC10991,Rh incompatibility reaction
DC10992,Other physical therapy
DC10993,Injury of pleura_ with open wound into thoracic cavity
DC10994,Thymoma_ type B2_ NOS
DC10995,Ganglion_ lower leg(fibula_ tibia_ knee joint)
DC10998,Abnormal results of other endocrine function studies
DC10999,Algoneurodystrophy_ site unspecified
DC11,Chronic nephritic syndrome with focal and segmental glomerular lesions
DC110,Immunodeficiency_ unspecified
DC1100,Osteitis condensans_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC11001,Hypertension secondary to other renal disorders
DC11002,Other fibroblastic disorders_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC11003,Hepatitis A without hepatic coma
DC11004,Pain in thoracic spine_ site unspecified
DC11008,Generalized hyperhidrosis
DC11009,Surgical procedures_ unspecified as the cause of abnormal reation of the patient_ or of later complication_ without mention of misadventure at the time of the procedure
DC11012,Anagen effluvium
DC11013,Open wound of other parts of head
DC11015,Nephropathy induced by other drugs_ medicaments and biological substances
DC11016,Malignant neoplasm of dorsal surface of tongue
DC11019,Radiculopathy_ site unspecified
DC11023,Pityriasis lichenoides et varioliformis acuta
DC11024,Other mononeuropathies of lower limb
DC11025,Burn of second degree of trunk
DC11026,Hematemesis
DC11027,Cellulitis of finger and toe
DC11032,Infections of other parts of urinary tract in pregnancy
DC11034,Tuberculosis of lung_ confirmed by unspecified means
DC11036,Acute sphenoidal sinusitis
DC11037,Need for immunization against viral hepatitis
DC11038,Poisoning by tricyclic and tetracyclic antidepressants
DC11039,Neoplasm of uncertain or unknown behavior of pituitary gland
DC1104,Intraductal Papilloma
DC11040,Calculus in bladder
DC11042,Other perforation of tympanic membrane
DC11043,Menopausal and female climacteric states
DC11045,Parvovirus infection_ unspecified site
DC11047,Other and unspecified intestinal obstruction
DC1105,Injury of colon_ with open wound into cavity
DC11050,Fracture of one rib_ other than first rib
DC11052,Malignant neoplasm of postcricoid region
DC11053,Endometriosis of rectovaginal septum and vagina
DC11054,Injury of multiple flexor muscle and tendons at wrist and hand level
DC11055,Delayed union of fracture_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC11056,Malignant neoplasm of lacrimal gland and duct
DC11057,Bitten or crushed by other reptiles_ unspecified place
DC11058,Infective myositis_ upper arm(humerus_ elbow joints)
DC11059,Cholesteatoma of middle ear
DC1106,Other rheumatic aortic valve diseases
DC11060,Discoid meniscus(congenital)_ Medial collateral ligament or other and unspecified medial meniscus
DC11062,Malignant neoplasm of esophagus_ unspecified
DC11063,Other specified anxiety disorders
DC11064,Cardiac rehabilitation
DC11065,Malignant neoplasm of thoracic part of esophagus
DC11067,Unifocal Langerhans-cell histiocytosis
DC11068,Cholinergic urticaria
DC11069,Idiopathic gout_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC1107,Acute biphenotypic leukemia
DC11070,Malignant neoplasm of cornea
DC11071,Sprain and strain of finger(s)
DC11073,Other viral pneumonia
DC11074,Cellulitis of other sites
DC11079,Haemarthrosis_ site unspecified
DC1108,Other glaucoma
DC11080,Abscess of tendon sheath_ forearm(radius_ ulna_ wrist joints)
DC11082,Beau's lines
DC11083,Panniculitis_ unspecified_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC11084,Alcoholic fatty liver
DC11086,Embolism and thrombosis of arteries of extremities_ unspecified
DC11088,Labour and delivery complicated by fetal heart rate anomaly
DC11089,Cramp and spasm
DC1109,Malignant neoplasm of upper respiratory tract_ part unspecified
DC11090,Atrial septal defect as current complication following acute myocardial infarction
DC11091,Cardiovascular disorder originating in the perinatal period_ unspecified
DC11093,Rupture of chordae tendineae as current complication following acute myocardial infarction
DC11095,Sprain and strain of sternoclavicular joint
DC11096,Embolism and thrombosis of arteries of upper extremities
DC11097,Fistula of joint_ forearm(radius_ ulna_ wrist joints)
DC111,Sprain and strain of ulnar collateral ligament
DC1110,Cerebrospinal fluid leak from spinal puncture
DC11100,Diffuse non-Hodgkin's lymphoma_ unspecified
DC11101,Retained dental root
DC11104,Irritant contact dermatitis due to other agents
DC11105,Other specified menopausal and perimenopausal disorders
DC11106,Other difficulties with micturition
DC11107,Glomerular disorders in other diseases classified elsewhere
DC11108,Obstruction of Eustachian tube
DC11109,Unspecified abnormal findings in specimens from digestive organs and abdominal
DC1111,Synovitis and tenosynovitis_ unspecified_ site unspecified
DC11111,Poisoning by other and unspecified drugs primarily affecting the autonomic nervous system
DC11112,Other nonspecific lymphadenitis
DC11113,Malignant neoplasm of tonsillar fossa
DC11114,Vomiting following gastrointestinal surgery
DC11115,Recurrent cholesteatoma of postmastoidectomy cavity
DC11116,Dissociative amnesia
DC11122,Contusion of lower back and pelvis
DC11123,Atopic dermatitis_ unspecified
DC11124,Acute promyelocytic leukemia[PML]
DC11125,Corrosion of eyelid and periocular area
DC11126,Melanoma in situ of trunk
DC11128,Other specified effects of external causes
DC11129,Medullomyoblastoma (C71.6)
DC1113,Brucella spondylitis_ lumbar region
DC11131,Neonatal cardiac failure
DC11132,Episcleritis
DC11134,Ganglion_ site unspecified
DC11135,Female pelvic inflammatory disorders in other diseases classified elsewhere
DC11136,Other viral infections of unspecified site
DC11137,Unspecified diabetes mellitus_ without complications
DC11138,Localized swelling_ mass and lump_ neck
DC11139,Other specific joint derangements NEC_ lower leg(fibula_ tibia_ knee joint)
DC1114,Glossodynia
DC11140,Open wounds involving thorax with abdomen_ lower back and pelvis
DC11141,Mechanical complication of breast prosthesis and implant
DC11142,Rheumatoid arthritis with involvement of other organs and systems_ site unspecified
DC11143,Loose body in joint_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC11145,Other vascular disorders of intestine
DC11146,Other and unspecified diseases of pulp and periapical tissues
DC11147,Adenoid Cystic Carcinoma
DC11148,Open wound of knee
DC11149,Injury of multiple blood vessels at neck level
DC11150,Fracture of patella_ closed
DC11151,Acute lymphadenitis of trunk
DC11152,T zone lymphoma
DC11153,Coma_ unspecified
DC11154,Multiple cranial nerve palsies in neoplastic disease
DC11155,Neoplasm of uncertain or unknown behavior of prostate
DC11157,Chronic tubotympanic suppurative otitis media
DC11158,Malignant neoplasm of overlapping lesion of female genital organs
